"code","time_zone_id","name","city_code","country_id","location","elevation","url","icao","city","county","state"
UGL,Antarctica/South_Pole,Union Glacier Blue-Ice Runway,UGL,AQ,POINT (-83.320833 -79.777778),2461,,SCGC,,,
SXW,Pacific/Port_Moresby,Sauren,SXW,PG,POINT (148.95305 -5.971389),177,,AYSV,,,
NDV,America/New_York,USN Heliport,NDV,US,POINT (-77 38.86667),19,,,,,
EAP,Europe/Zurich,EuroAirport Basel-Mulhouse-Freiburg Airport,EAP,CH,POINT (7.529167 47.59),846,,,Basel,,
NET,America/Nassau,New Bight,NET,BS,POINT (-75.45763803663925 24.314824100000003),36,,,,,
MSK,America/Nassau,Mastic Point,MSK,BS,POINT (-78 25.033333),29,,,,,
LYG,Asia/Shanghai,Lianyungang Airport,LYG,CN,POINT (118.87475668663635 34.57096),52,,ZSLG,Niushan,,Jiangsu Sheng
YIG,America/Vancouver,Big Bay Marina,YIG,CA,POINT (-125.13333 50.38333),0,,CAF6,,,
ACI,Europe/Guernsey,Alderney Airport,ACI,GB,POINT (-2.214498597174802 49.70694185),298,,EGJA,Beaumont-Hague,Departement de la Manche,Lower Normandy
ANT,Europe/Vienna,St Anton,ANT,AT,POINT (10.283333 47.15),5672,,,Sankt Anton am Arlberg,Politischer Bezirk Landeck,Tyrol
APW,Pacific/Apia,Faleolo Airport,APW,WS,POINT (-171.999494 -13.832271),45,,NSFA,Satapuala,,A'ana
LYI,Asia/Shanghai,Linyi Airport,LYI,CN,POINT (118.41027073428957 35.05260055),187,,ZSLY,Linyi,,Shandong Sheng
LHB,America/Nome,Lost Harbor Sea Port,LHB,US,POINT (-165.6 54.233334),0,,,,,
MZS,Asia/Kuching,Mostyn,MZS,MY,POINT (118.15 4.616667),223,,,,,
MDE,America/Bogota,Jose Maria Cordova International Airport,MDE,CO,POINT (-75.42394572094523 6.16640765),6965,,SKRG,Rionegro,,Antioquia
MDH,America/Chicago,Southern Illinois,MDH,US,POINT (-89.2503003 37.7782221),400,,KMDH,De Soto,Jackson County,Illinois
YFL,America/Yellowknife,Fort Reliance,YFL,CA,POINT (-109.13333 62.7),514,,CJN8,,,
YEP,America/Vancouver,Estevan Point,YEP,CA,POINT (-126.53333 49.38333),0,,,,,
JTN,America/Sao_Paulo,Antônio Ribeiro Nogueira Jr. State Airport,JTN,BR,POINT (-46.785556 -24.164722),10,,SDIM,Itanhaém,,
YGA,America/Montreal,Gagnon,YGA,CA,POINT (-68.13333 51.95),700,,CTU4,,,
MDK,Africa/Kinshasa,Mbandaka,MDK,CD,POINT (18.290409440342884 0.02011615),1010,,FZEA,Mbandaka,,Equateur
LMV,Indian/Maldives,Madivaru Airport,LMV,MV,POINT (73.3703800969 5.45798469788),39,,,Madivaru,,
LZC,America/Mexico_City,Lazaro Cardenas Airport,LZC,MX,POINT (-102.21966265294796 18.00309765),62,,MMLC,La Orilla,Lazaro Cardenas,Michoacan
AQP,America/Lima,Rodriguez Ballon International Airport,AQP,PE,POINT (-71.56895878830176 -16.3423105),8346,,SPQU,Arequipa,Provincia de Arequipa,Arequipa
NKI,America/Anchorage,Naukiti,NKI,US,POINT (-133.21666 55.36667),1630,,AK62,,,
YSV,America/Goose_Bay,Saglek,YSV,CA,POINT (-62.5 58.583332),0,,,,,
AST,America/Los_Angeles,Astoria,AST,US,POINT (-123.8830099988317 46.15642245),16,,KAST,Warrenton,Clatsop County,Oregon
TYC,Asia/Shanghai,Taiyuan Yaocheng Airport,TYC,CN,POINT (112.4229 37.5027),2487,,ZBXX,Mengfeng,Qingxu,Shanxi
YTI,America/Vancouver,Triple Island,YTI,CA,POINT (142.06223 -29.456944),0,,,,,
LZH,Asia/Shanghai,Liuzhou Airport,LZH,CN,POINT (109.3985578866662 24.20767915),318,,ZGZH,Labu,,Guangxi Zhuangzu Zizhiqu
MEC,America/Guayaquil,Manta Airport,MEC,EC,POINT (-80.67949990971246 -0.94690845),26,,SEMT,Manta,,Manabi
DZH,Asia/Shanghai,Dazhou Jinya Airport,DZH,CN,POINT (107.43698222297508 31.05057705),1364,,,Dazhou,,Sinjuan
EES,Africa/Cairo,Berenice International Airport,IUP,EG,POINT (35.45003685693535 23.980303),55,,,Berenice City,,
YHA,America/St_Johns,Port Hope Simpson,YHA,CA,POINT (-56.280771003168525 52.52758035),347,,CCP4,,,
KFZ,Europe/Tirane,Kukës International Airport,KFZ,AL,POINT (20.416156526028644 42.0342197),1135,https://kuiport.al/,LAKU,Kukës,,
